Date,Price,Open,High,Low,Vol.,Change %
2016-11-01,"5,502.38","5,402.40","5,583.50","5,138.90",19.41B,1.85%
2016-10-01,"5,402.44","5,525.20","5,578.90","5,347.30",15.67B,-2.22%
2016-09-01,"5,525.15","5,529.40","5,560.70","5,294.10",18.35B,-0.08%
2016-08-01,"5,529.41","5,644.00","5,691.80","5,510.20",17.85B,-2.03%
2016-07-01,"5,643.96","5,310.40","5,650.80","5,237.80",15.68B,6.28%
2016-06-01,"5,310.40","5,447.80","5,461.00","5,131.90",18.48B,-2.52%
2016-05-01,"5,447.80","5,316.00","5,489.80","5,253.20",18.53B,2.48%
2016-04-01,"5,316.00","5,151.80","5,342.90","4,975.70",15.68B,3.19%
2016-03-01,"5,151.79","4,947.90","5,272.10","4,936.60",20.74B,4.12%
2016-02-01,"4,947.94","5,056.60","5,122.10","4,762.10",20.81B,-2.15%
2016-01-01,"5,056.60","5,344.60","5,379.60","4,857.90",14.53B,-5.39%
2015-12-01,"5,344.56","5,218.20","5,372.00","4,963.86",16.79B,2.42%
2015-11-01,"5,218.19","5,288.60","5,361.40","5,041.60",17.85B,-1.33%
2015-10-01,"5,288.56","5,058.60","5,420.60","5,058.60",16.76B,4.55%
2015-09-01,"5,058.60","5,222.10","5,236.90","4,958.10",19.85B,-3.13%
2015-08-01,"5,222.08","5,681.70","5,710.80","4,936.30",18.81B,-8.09%
2015-07-01,"5,681.69","5,448.10","5,699.30","5,372.40",16.54B,4.23%
2015-06-01,"5,451.20","5,774.90","5,774.90","5,383.40",17.59B,-5.61%
2015-05-01,"5,774.95","5,773.70","5,886.20","5,580.40",17.04B,0.02%
2015-04-01,"5,773.67","5,861.90","5,963.50","5,734.70",14.69B,-1.51%
2015-03-01,"5,861.92","5,898.50","5,962.00","5,720.50",19.46B,-0.62%
2015-02-01,"5,898.48","5,551.60","5,917.10","5,551.60",18.30B,6.25%
2015-01-01,"5,551.58","5,388.60","5,579.40","5,248.50",15.01B,3.02%
2014-12-01,"5,388.60","5,298.10","5,458.30","5,121.70",17.62B,1.71%
2014-11-01,"5,298.11","5,505.00","5,523.50","5,281.40",15.11B,-3.76%
2014-10-01,"5,505.02","5,296.80","5,505.02","5,121.20",18.93B,3.93%
2014-09-01,"5,296.76","5,624.60","5,670.50","5,258.50",18.23B,-5.83%
2014-08-01,"5,624.57","5,623.10","5,672.30","5,419.70",17.10B,0.03%
2014-07-01,"5,623.12","5,382.00","5,633.30","5,361.40",16.37B,4.48%
2014-06-01,"5,382.03","5,466.30","5,506.00","5,354.70",16.92B,-1.68%
2014-05-01,"5,473.77","5,470.80","5,520.30","5,353.40",16.38B,0.06%
2014-04-01,"5,470.75","5,403.00","5,533.30","5,353.60",14.60B,1.25%
2014-03-01,"5,402.99","5,415.40","5,477.30","5,307.00",21.31B,-0.23%
2014-02-01,"5,415.45","5,205.10","5,471.80","5,072.70",19.12B,4.04%
2014-01-01,"5,205.10","5,353.10","5,383.40","5,174.40",15.32B,-2.76%
2013-12-01,"5,353.08","5,314.30","5,367.80","5,037.40",15.73B,0.73%
2013-11-01,"5,314.32","5,420.30","5,432.40","5,282.00",16.63B,-1.95%
2013-10-01,"5,420.28","5,217.70","5,453.10","5,118.00",18.00B,3.88%
2013-09-01,"5,217.74","5,125.30","5,307.70","5,113.80",19.35B,1.80%
2013-08-01,"5,125.30","5,035.70","5,151.60","4,993.20",20.22B,1.78%
2013-07-01,"5,035.66","4,775.40","5,077.30","4,682.40",19.54B,5.45%
2013-06-01,"4,775.41","4,914.00","4,915.00","4,610.60",20.22B,-2.82%
2013-05-01,"4,914.03","5,165.30","5,229.80","4,885.40",22.30B,-4.93%
2013-04-01,"5,168.60","4,979.90","5,171.20","4,891.60",18.02B,3.79%
2013-03-01,"4,979.87","5,120.40","5,174.40","4,944.50",18.55B,-2.74%
2013-02-01,"5,120.38","4,901.00","5,127.80","4,892.00",17.90B,4.48%
2013-01-01,"4,901.01","4,664.60","4,928.60","4,664.60",15.86B,5.07%
