ind,loc,train_error,test_error,total_error,mp
1,1,3895.2895906036774,8672.53161224864,5406.022972904654,179259.50866593368
1,2,7517.271054066091,10268.023584524153,8243.750049462467,210251.60113644475
1,3,5294.129635111451,15360.581451599659,8757.27441957105,204103.53784138634
1,4,7699.80448457164,8483.126577963705,7890.108822076658,220265.03422034968
1,5,5576.326917651372,15919.37321332263,9117.584210984407,182526.61384325163
1,6,5853.082341988806,9696.392623094733,6945.883448533747,122679.4694656683
1,7,14949.19914307809,17754.28032520276,15650.835848268067,176475.56581448298
1,8,4650.881340813774,15813.073618542454,8665.523975008171,129468.8614702321
1,9,8073.405239867453,14045.065539108056,9802.711222870446,199761.279484169
1,10,8503.049845776462,14888.191491278847,10356.524868114617,244265.65204459906
2,1,21241.46674026887,20906.392801773687,21163.52069904508,425402.2255646296
2,2,16998.25939753715,22143.518617556594,18332.36830243708,452571.4133010989
2,3,39598.87135680254,106479.03316990391,62085.42015628008,540964.2379130902
2,4,36074.532988495994,36848.06161402001,36257.050842967474,256787.16366789793
2,5,38654.379093985444,129285.61688916734,71108.5886591668,241128.36840023642
2,6,21412.245500606314,81695.846050404,43740.471824795895,355116.1909124872
2,7,19180.581154828786,64594.7052398297,35472.92775317608,282417.23092795844
2,8,43836.98380432607,125068.50577927231,71643.91317743214,468158.1725450333
2,9,50607.32694736421,36573.984831662994,47694.478804958264,439482.60616878065
2,10,21698.46359101832,89477.37823210596,47269.677421895285,263418.0349188342
3,1,77693.40074288037,173253.73712244854,107929.3459176169,578230.9338888617
3,2,42081.70675243411,68963.35081378218,49694.107460358005,624146.2234380589
3,3,82700.50887885466,303411.434975986,163659.0226526151,484207.439101692
3,4,64994.90968972302,71311.60490107331,66527.0658741883,918269.8370854432
3,5,132606.38763306235,179201.5364353134,144861.3014376449,356803.31841247715
3,7,49881.766912486724,50451.722504895384,50015.74294118106,600063.5248870135
3,8,33914.69916221052,34886.171976625854,34160.15754125134,184118.66209298006
3,9,148122.38475393268,794161.5746506924,405480.20767383726,390441.62571611017
4,1,21388.09414728514,71688.03166207368,39410.316525077666,466702.8859363629
4,2,6981.621301434238,12508.189080803006,8599.544805829892,214979.3819126926
4,3,14494.126423129359,27516.177159713337,18387.90611339112,289193.3088849364
4,4,21603.664095174405,28716.982811732963,23462.58905560792,375384.02566613065
4,5,25464.219428164255,46839.963101353766,31782.8926738708,413010.65451894404
4,6,138553.013441658,300892.2916581661,189455.41406592296,1084742.7659026985
4,7,18415.599387332448,29821.52159127881,21631.040284847204,516913.8049852271
4,8,12591.545022742514,14662.994823834564,13105.731901268737,217052.55381495238
4,9,11075.150257273559,14283.310371849024,11903.749474499116,212408.89344862272
4,10,21012.606184468255,39372.696299732306,26476.552302113698,301297.5538427942
5,1,59161.96534954848,91496.15500319649,68119.41694769605,603103.8671177042
5,2,29451.6002358041,30488.851127255428,29697.608509578742,430287.17559348716
5,3,49704.337233974205,42248.6017321374,48073.74207109289,280317.91305766033
5,4,42128.38198961779,122087.00970972629,69626.73090017977,299138.87647680857
5,5,15167.06471259512,156243.73680869187,77541.65122430811,241514.48853750966
5,6,61724.74414757732,162117.23117505526,95233.19067912498,711191.594409602
5,7,29825.215991347573,36721.67594541539,31574.58668658258,349493.0254671618
5,8,38860.54022547054,38781.76051277312,38842.11674210011,485771.27529886545
5,9,45845.883820437426,94178.54060212632,60710.683781880434,464680.9511164949
5,10,76662.65299653783,164356.9205116757,104037.9447597076,446707.99142118054
6,1,3398587.5349074397,11313638.88474354,6229300.997850517,32448461.967978958
7,1,18657.862441298672,71535.01369836617,38266.14801531311,238891.98169239564
7,2,19108.42890157523,25538.778198161763,20792.426553670586,271799.87362410093
7,3,84381.10026914829,32052.712231328896,75459.90381680973,339656.3978907913
7,4,45182.62074449156,67755.79500224574,51362.75187010938,435439.54993169184
7,5,43623.2161320596,56127.25267381377,46849.78550898227,346157.37223205424
7,6,34767.97106014673,35224.52849764246,34875.360657238234,228313.23671704053
7,7,13064.627172491599,33449.66973356553,19814.203938006092,241569.22476610687
7,8,34562.67692323535,39695.37168938407,35829.91106595809,313196.2817822103
7,9,87045.70193821208,218993.21628642373,130490.78134123597,750382.398597857
7,10,49110.599612102385,111821.18355776358,69092.96601946061,495253.6188220827
8,1,232578.88103483,619268.6395349561,362197.07282759045,1480469.004365311
8,2,49774.26014798155,109477.25812870533,68576.27242390564,682378.3951566027
8,3,107934.53160480842,78985.44358825321,101899.07139932916,620376.7976477331
8,4,33285.54992460507,88185.51844698303,51659.4709896219,328666.18140638934
8,5,176349.35448834082,116664.55311793787,164335.1668066685,123980.1385173435
8,6,114534.72163947183,231100.2849130921,150158.50116241796,894037.2594269892
8,7,165097.21259627494,264819.4770576489,193108.84019420508,309327.7928720231
8,8,39560.71962426716,94849.4984093383,57483.11873791857,306407.1980767448
8,9,26480.756137485998,70389.71233472397,41191.33447143929,485506.51146286505
8,10,99057.46512502928,103150.47572973046,100030.41637080033,541490.4284035508
9,1,85861.23215818587,138191.53943203128,100579.52924359075,495520.15476860607
9,2,59698.63711957903,182168.18882013488,102452.80398224657,1141482.9698327694
9,3,87967.4375423886,157814.88659013415,108425.74134616638,888917.4255311439
9,4,476128.29163130966,730155.1003696049,546274.122206686,-55919.61220989507
9,7,92129.78918525815,547239.9177163754,276749.7960927194,1381388.745169473
9,9,68267.2698621784,111490.12731837964,80626.26911344612,1020178.8806638306
10,2,25553.897698322875,31339.474348597443,27019.240555676446,207992.26860788118
10,5,6233.101250494954,25480.39285323248,13480.017095976005,142331.93390626606
10,7,102983.70065940956,104309.56841483345,103295.53556149798,270427.4250051621
10,8,757593.9755589105,970693.9938945036,812493.7429876925,23615648.81436283
