Date,Price,Open,High,Low,Vol.,Change %
2016-11-01,"2,306.95","2,335.80","2,353.10","2,239.70",7.27B,-1.24%
2016-10-01,"2,335.80","2,453.50","2,476.00","2,322.00",5.64B,-4.80%
2016-09-01,"2,453.50","2,437.90","2,479.50","2,355.20",6.93B,0.64%
2016-08-01,"2,437.86","2,482.30","2,532.50","2,429.40",6.70B,-1.79%
2016-07-01,"2,482.32","2,287.20","2,482.40","2,287.20",6.08B,8.53%
2016-06-01,"2,287.17","2,325.40","2,380.60","2,228.00",7.16B,-1.64%
2016-05-01,"2,325.41","2,234.90","2,327.60","2,232.90",6.71B,4.05%
2016-04-01,"2,234.88","2,171.30","2,235.20","2,114.70",5.75B,2.93%
2016-03-01,"2,171.31","2,078.50","2,193.40","2,073.80",8.10B,4.47%
2016-02-01,"2,078.48","2,063.00","2,086.30","1,949.50",8.24B,0.75%
2016-01-01,"2,063.01","2,175.20","2,191.00","1,971.00",5.05B,-5.16%
2015-12-01,"2,175.15","2,100.60","2,190.60","2,041.27",6.00B,3.55%
2015-11-01,"2,100.58","2,101.00","2,139.20","2,034.70",6.17B,-0.02%
2015-10-01,"2,101.05","1,963.60","2,118.90","1,963.60",5.82B,7.00%
2015-09-01,"1,963.64","1,996.40","1,996.40","1,895.90",6.87B,-1.64%
2015-08-01,"1,996.41","2,104.20","2,113.00","1,870.10",6.55B,-5.12%
2015-07-01,"2,104.20","2,073.50","2,124.74","2,019.30",5.59B,1.52%
2015-06-01,"2,072.60","2,255.10","2,258.30","2,044.60",5.80B,-8.09%
2015-05-01,"2,255.12","2,203.50","2,266.30","2,187.40",5.59B,2.34%
2015-04-01,"2,203.48","2,169.20","2,231.40","2,152.30",4.70B,1.58%
2015-03-01,"2,169.24","2,231.50","2,244.10","2,135.00",6.40B,-2.79%
2015-02-01,"2,231.51","2,062.20","2,234.90","2,058.20",6.62B,8.21%
2015-01-01,"2,062.23","2,044.40","2,076.10","1,990.90",5.46B,0.87%
2014-12-01,"2,044.38","2,041.80","2,058.90","1,916.00",6.69B,0.13%
2014-11-01,"2,041.76","2,123.10","2,127.70","2,041.40",5.30B,-3.83%
2014-10-01,"2,123.09","2,137.60","2,145.70","2,018.40",6.20B,-0.68%
2014-09-01,"2,137.62","2,281.60","2,295.60","2,125.40",5.86B,-6.31%
2014-08-01,"2,281.58","2,234.60","2,289.90","2,165.70",5.61B,2.10%
2014-07-01,"2,234.57","2,131.30","2,243.30","2,130.60",6.82B,4.84%
2014-06-01,"2,131.34","2,162.40","2,177.30","2,093.40",6.65B,-1.44%
2014-05-01,"2,162.40","2,160.70","2,179.60","2,102.40",7.02B,0.08%
2014-04-01,"2,160.71","2,189.60","2,196.80","2,129.80",5.92B,-1.32%
2014-03-01,"2,189.64","2,232.50","2,279.80","2,150.50",8.39B,-1.92%
2014-02-01,"2,232.48","2,132.50","2,274.80","2,091.90",6.86B,4.69%
2014-01-01,"2,132.51","2,193.60","2,214.00","2,120.80",5.96B,-2.79%
2013-12-01,"2,193.61","2,145.00","2,201.70","2,050.90",5.44B,2.26%
2013-11-01,"2,145.03","2,265.40","2,265.40","2,136.70",6.44B,-5.31%
2013-10-01,"2,265.39","2,206.80","2,291.60","2,136.70",7.18B,2.65%
2013-09-01,"2,206.84","2,188.50","2,246.80","2,186.70",8.54B,0.84%
2013-08-01,"2,188.45","2,134.10","2,234.50","2,094.00",8.39B,2.54%
2013-07-01,"2,134.14","1,944.40","2,169.00","1,920.20",8.36B,9.76%
2013-06-01,"1,944.41","2,100.80","2,100.80","1,876.60",8.90B,-7.45%
2013-05-01,"2,100.82","2,187.30","2,255.10","2,037.30",9.77B,-3.91%
2013-04-01,"2,186.23","2,295.10","2,307.90","2,095.40",8.50B,-4.74%
2013-03-01,"2,295.07","2,389.60","2,397.20","2,295.10",7.88B,-3.96%
2013-02-01,"2,389.62","2,375.80","2,422.40","2,317.40",6.95B,0.58%
2013-01-01,"2,375.78","2,280.70","2,395.80","2,280.70",6.44B,4.17%
